,id,name,second_name,family,event_count
0,11233,Сергей,,Данилов,1
1,4790,Ольга,,Бредникова,1
2,3936,Михаил,,Болдуман,36
3,12502,Никита,,Андреев,6
4,5468,Левон,,Григорян,1
5,13093,Анатолий,,Шиманский,2
6,13520,Слава,,Полунин,1
7,4326,Глеб,,Савчук,1
8,2520,Андрей,,Князев,3
9,5697,Владимир,,Овчинников,2
10,4321,Вера,,Панова,3
11,11092,Всеволод,,Волоколамский,2
12,176,Владислав,,Черейский,13
13,9719,Зоя,,Десятова,1
14,6373,Дмитрий,,Хазан,1
15,4976,Джон,,Остин,2
16,1552,Джанет,,Фитч,1
17,10792,Равель,,,1
18,2204,Дмитрий,,Брусникин,1
19,1373,Вячеслав,,Бутусов,10
20,764,Павел,,Пепперштейн,4
21,3762,Андрей,,Кончаловский,2
22,4116,Владимир,,Фролов,3
23,1268,Александр,,Григорьев,6
24,10073,Екатерина,,Смолякова,1
25,161,Владимир,,Пряхин,7
26,8057,Ольга,,Зубкова,2
27,10454,Кэтрин,,Мэнсфилд,2
28,7499,Анна,,Попова,1
29,12251,Николай,,Воронцов,2
30,10399,Юли,,Раввиной,1
31,8869,Лера,,Менди,2
32,4289,Надя,,Калман,1
33,8873,Галина,,Селивановский,2
34,815,Дмитрий,,Глуховский,13
35,8660,Анри,,Картье,4
36,12629,Анна,,Ковалева,1
37,6127,Бруно,,Латур,2
38,12961,Александр,,Субботина,1
39,8724,Семён,,Александровский,3
40,3071,Андрей,,Маевский,1
41,8457,Сергей,,Рутинов,1
42,4452,Михаил,,Микадзе,1
43,13035,Диана,,Судейкина,1
44,5604,Семён,,Коварский,1
45,9720,Дмитрий,,Запольский,1
46,8228,Элька,,Либс,1
47,3834,Алена,,Аренкова,3
48,15271,Лейла,,Енукидзе,1
49,9306,Юрий,,Купрюхин,1
50,6861,К,,Алишер,1
51,5644,Н,,Буров,1
52,14764,Алла,,Бернардуччи,1
53,2543,Елизавета,,Шубина,1
54,1287,Виталий,,Ремизов,1
55,6258,Илья,,Бомштейн,4
56,6775,Виктория,,Гинзбург,4
57,366,Владимир,,Кривошеев,6
58,307,Геннадий,,Муриков,2
59,3199,Павел,,Щеголев,1
60,6445,Сергей,,Кулле,2
61,14205,Михаил,,Грязнов,1
62,5436,Виктор,,Арсланов,2
63,15851,Евгений,,Дудник,1
64,6458,Рита,,Марго,1
65,7064,Илья,,Кутик,4
66,9491,Пётр,,Семак,3
67,7946,Лина,,Мыслина,2
68,15177,Ирина,,Рогалевый,1
69,13866,Алексей,,Шаманов,2
70,12248,Аксель,,Хак,1
71,14655,Виктор,,Вилисов,1
72,2773,Александр,,Волков,9
73,2544,Яна,,Чабан,1
74,8647,Нина,,Грозовой,1
75,13475,Снежана,,Кръстевой,1
76,12870,Мария,,Усик,2
77,12525,Александр,,Овсянников,1
78,13273,Гали-Дана,,Зингер,4
79,4754,Гаспар,,Башляр,1
80,13,Лора,,Кутузова,20
81,4689,Петр,,Потемкин,2
82,13272,Антон,,Таврический,1
83,8548,Дмитрий,,Селипанов,1
84,9185,Д,,Константинов,1
85,11194,Алексей,,Поляков,3
86,1942,Андрей,,Шацков,4
87,15072,,,Ватсон,1
88,14747,Джордж,,Вагнер,1
89,7418,Эрих,,Фрид,1
90,13697,С,,Головецкий,1
91,3442,Александр,,Кочарян,2
92,3755,Натали,,Варгас,1
93,16727,Полина,,Куделькина,1
94,6084,Ирина,,Точилкина,1
95,1006,Лилия,,Газизова,9
96,13184,Александр,,Рыбошлыков,1
97,453,Владимир,,Захаров,32
98,10385,Марьяна,,Федорова,1
99,11752,Виталий,,Рыстов,1
100,11157,Алекс,,Поляков,5
101,7154,Леош,,Яначек,1
102,12464,А,,Антанас,1
103,12045,А,,Сулим,1
104,667,Леонид,,Дубшан,8
105,14741,Владимир,,Кудрявцев,1
106,12165,Дмитрий,,Колясников,1
107,8401,Рамза,,Олеговна,1
108,16858,Алла,,Шелест,1
109,13030,Мила,,Шевалье,1
110,2073,Андрей,,Кураев,6
111,11359,Маргарита,,Рудакова,1
112,9890,,,Шаляпина,1
113,11026,,,Христос,1
114,13344,Станислав,,Кутехов,1
115,4199,Никита,,Подвысоцкий,3
116,6786,Леонид,,Раскин,2
117,16847,Алла,,Гальберштадт,1
118,12686,,,Егунов,1
119,14659,Евгений,,Леденев,1
120,4893,Елена,,Долгих,3
121,4967,Анна,,Кузнецова,1
122,3671,Игорь,,Пальмина,1
123,8009,Даня,,Плотников,2
124,17146,А,И,Бродский,1
125,14872,Вальтер,,Хазенклевер,2
126,13094,Ольга,,Марголина,1
127,6631,П,,Поберезкин,1
128,7691,Поль,,Вирильо,1
129,44,Евгений,,Петрушенко,23
130,14662,Леван,,Цискадзе,1
131,15508,Людмила,,Алябьева,1
132,3035,Карлос,,Поррас,2
133,8416,Алексей,,Живой,1
134,4921,Сергей,,Юрский,3
135,16208,Павел,,Полян,1
136,14626,Александр,,Жарова,1
137,7184,Юлиан,,Шуттинг,1
138,3882,Елена,,Омельченко,3
139,15436,Ануар,,Дуйсенбин,1
140,6495,Юрий,,Кропотов,1
141,6086,Владислав,,Раздъяконов,1
142,6091,Абрам,,Раскин,3
143,12074,Александр,,Следин,2
144,12145,Дмитрий,,Мизгулиный,1
145,15629,Наталья,,Николаевна,1
146,5628,Елена,,Васильева,2
147,13445,Екатерина,,Никонорова,1
148,9413,Олег,,Каравайчук,2
149,11265,Алексей,,Костылев,3
150,6473,Абрам,,Юсфин,4
151,7711,Юдит,,Герман,1
152,10188,Людмила,,Шелгунова,1
